,0
TCP_ack,150197925114.8202
TCP_seq,22518328783.296658
BOOTP_xid,2473406212.4800572
TCP_sport,4472147.6059535
sport_bare,2807706.302016585
IP_id,2202884.0873622843
UDP_chksum,876538.6482875856
UDP_sport,485473.53099717683
dport_bare,123037.07150720216
UDP_dport,114124.96822085003
TCP_chksum,99062.77931764597
TCP_dport,72724.80602736516
TCP_window,54416.4586162301
DNS_id,30480.120097922638
Ether_type,15279.089713440562
payload_bytes,12621.152262036965
ICMP_chksum,11621.4
pck_size,10610.542835108325
IP_len,10441.093522815478
ICMP_id,7640.840098933901
UDP_len,5499.411199503495
IP_ttl,1365.3963766716167
IP_tos,269.44141229921695
dport_class,126.50787447012415
EAPOL_len,119.6008087948409
sport_class,96.22454036079071
IP_proto,73.76732967725673
LLC_ctrl,70.0004329457544
DNS_ancount,37.32468215152469
TCP_flags,32.19620249060882
TCP_PSH,31.48662177505434
DNS_nscount,19.60045318638412
TCP_ACK,17.187178375497748
DNS_qdcount,16.20384669499727
Protocol,13.974881007106125
TCP_options,10.613479630500624
TCP_SYN,9.64648641091063
BOOTP_hlen,8.401649234887918
DNS_aa,6.84310523924447
DNS_qr,6.7624328836303205
TCP_FIN,6.72048061767638
DNS_rd,4.041566298257572
EAPOL_type,3.3621622339008113
DHCP_options,3.3199999999999994
ICMP_type,3.0003979749055114
TCP_RST,2.1611654871293586
BOOTP_op,1.6015114760283449
BOOTP_htype,1.4009647068951996
BOOTP_file,1.4000207859778713
BOOTP_options,1.4000054969522036
BOOTP_sname,1.3999999999999997
IP_options,1.2411349390108728
EAPOL_version,1.2009009191601123
IP_DF,0.7251570558951188
entropy,0.40709726542557273
LLC_ssap,0.3999999999999999
IP_flags,0.38112305418152215
ICMP_seq,0.3217730701539073
BOOTP_secs,0.32083678758763307
IP_ihl,0.2247110232681508
IP_version,0.22011421740577714
ICMP_code,0.12234330779050431
TCP_dataofs,0.06083008357028545
BOOTP_flags,0.027453364924713064
LLC_dsap,0.0030338412007042126
TCP_URG,0.0028928901203250645
IP_MF,0.0026003294849966108
DNS_rcode,0.002022215846004427
TCP_urgptr,0.0016588139004825586
IP_frag,0.001592076490521177
ICMP_nexthopmtu,0.0015862503395239202
DNS_opcode,0.0012372157004961748
ICMP_ts_ori,0.0005287298961175191
ICMP_ptr,0.0002575329584304509
IP_Z,0.00025330712089799423
ICMP_ts_tx,0.00020971248038526014
BOOTP_hops,0.00016064809974525307
TCP_CWR,0.0001574801180263541
TCP_reserved,7.930243705600581e-05
DNS_arcount,0.0
ICMP_ts_rx,0.0
DNS_cd,0.0
DNS_ad,0.0
TCP_ECE,0.0
DNS_z,0.0
ICMP_reserved,0.0
ICMP_length,0.0
DNS_ra,0.0
DNS_tc,0.0
DNS_length,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
