,Random_Forest,Extra_Trees,RFE,Chi_Square,Lasso,Mutual_Info
pck_size,0.021617045794928937,0.02137628598938162,,23.330483897521624,0.0,0.18231652556971634
Ether_type,0.0026530304146100848,0.002275073271604106,,320459.6371453233,0.0,0.008693979806787766
LLC_dsap,0.0,0.0,,,0.0,0.0
LLC_ssap,0.00010325703545836841,0.00011381529191495505,,0.028571428571428498,0.0,0.00022228622777475948
LLC_ctrl,0.0001434046205130557,9.595858569796572e-05,,4.999999999999996,0.0,0.002755135008086995
EAPOL_version,0.0063928056865828,0.00490173049993535,,61.5377049180328,0.0,0.020861301951613065
EAPOL_type,0.005655123936812922,0.008258638730019422,,196.48474576271187,0.0,0.008511895699472305
EAPOL_len,0.00529076802233571,0.006073524788070282,,6936.990265627488,0.0,0.015921896077487174
IP_version,0.0007937927770962614,0.0014023676296219146,,3.4865191146881287,0.0,0.003787892895704248
IP_ihl,0.0008963832108021903,0.002600013427284305,,5.155283737718067,0.0,0.006570334229165864
IP_tos,0.0043022428081789885,0.005703621441602107,,2108.7999999999993,0.0,0.01101202784356281
IP_len,0.017563370117341208,0.018921503641698378,,3.4080565014719264,0.0,0.1805580364966426
IP_flags,0.0029298094950768166,0.0050858028725216,,1.0572399728076138,0.0,4.1002602530371135e-05
IP_Z,0.0,0.0,,,0.0,0.0046393280771317436
IP_MF,0.0,0.0,,,0.0,0.0006557778688780491
IP_id,0.04096446558788653,0.028682430821207923,,6651.3964298841165,0.0,0.2739566377543532
IP_DF,0.004495837948653129,0.003439750077026509,,0.7506493506493506,0.0,0.002395189206016335
IP_frag,0.0,0.0,,,0.0,0.0
IP_ttl,0.007832536117400375,0.01720394702097444,,3931.7264141592923,0.0,0.0443162065513778
IP_proto,0.0032518002553667165,0.00480260312199183,,18.444870661490434,0.0,0.007986476812875454
IP_options,0.0,0.0002756587268562414,,10.2,0.0,0.010536252461564422
ICMP_type,8.536553892460314e-05,8.982667682770107e-05,,21.999999999999996,0.0,0.001514816157898169
ICMP_code,0.0,2.4723947755583127e-05,,0.39999999999999997,0.0,0.0
ICMP_chksum,1.7378790595736686e-05,2.9545111935440134e-05,,75292.99999999999,0.0,0.0
ICMP_id,0.000173988618816396,6.1590780309139e-05,,53520.999999999985,0.0,0.0
ICMP_seq,0.0,1.2009241910662454e-06,,2.4,0.0,0.003953974067746557
ICMP_ts_ori,0.0,0.0,,,0.0,0.003726656135622841
ICMP_ts_rx,0.0,0.0,,,0.0,0.0
ICMP_ts_tx,0.0,0.0,,,0.0,0.0
ICMP_ptr,0.0,0.0,,,0.0,0.0
ICMP_reserved,0.0,0.0,,,0.0,0.0036152485665190692
ICMP_length,0.0,0.0,,,0.0,0.006115482783365378
ICMP_nexthopmtu,0.0,0.0,,,0.0,0.0
TCP_seq,0.01878721330598175,0.010679865289862048,,17331420877.83557,0.0,0.27690816053322287
TCP_ack,0.009903879399389599,0.006957507887014808,,331766529.73525125,0.0,0.2509060678636479
TCP_dataofs,0.00569417799448692,0.015271155374130195,,35.183339701948796,0.0,0.03703427507024948
TCP_reserved,0.0,0.0,,,0.0,0.0
TCP_flags,0.004174114188848726,0.00359371305482854,,9.737062937062937,0.0,0.02318040155458867
TCP_FIN,0.002544117188517204,0.0066750726829889985,,35.79999999999999,0.0,0.012330011085891712
TCP_SYN,0.001427267801704095,0.002035213329999915,,23.152650176678442,0.0,0.013424772059311252
TCP_RST,0.002327320125558114,0.0028027214269430944,,26.504225352112684,0.0,0.006924862174225943
TCP_PSH,0.00045110342758057935,0.003520193331071679,,14.792000000000014,0.0,0.013422049549791426
TCP_ACK,0.001456760397247149,0.003851591519003056,,0.04171011470281685,0.0,0.0023848862752036126
TCP_URG,0.0,0.0,,,0.0,0.004244965532777201
TCP_ECE,0.0,0.0,,,0.0,0.0
TCP_CWR,0.0,0.0,,,0.0,0.002919773142708193
TCP_window,0.03773710524449556,0.016988875564626582,,445905.3918347151,0.0,0.19548423703146534
TCP_chksum,0.006513219960868198,0.004275012888340437,,142150.7500090188,0.0,0.0
TCP_urgptr,0.0,0.0,,,0.0,0.0018166045781808915
TCP_options,0.0007128919016386519,0.0041019879140237175,,0.29144981412639764,0.0,0.0
UDP_len,0.017394014850241547,0.012684813034595595,,1023.5433299769568,0.0,0.06037675073597715
UDP_chksum,0.01386652082850915,0.012376771646045602,,87837.0360616128,0.0,0.012051809299797211
DHCP_options,0.0018763061265707215,0.0017604614145078025,,79.14054054054056,0.0,0.01728587994661024
BOOTP_op,0.0010412253622604862,0.002106946177296354,,34.81000000000001,0.0,0.023576632199968417
BOOTP_htype,0.0009858440123915934,0.003410133638957446,,45.43380281690142,0.0,0.004804991582386675
BOOTP_hlen,0.0014446579696348924,0.0029348176039194892,,272.60281690140846,0.0,0.0033942338823098606
BOOTP_hops,0.0,0.0,,,0.0,0.010614377332277103
BOOTP_xid,0.005577533606769401,0.0023153624234628603,,22877162186.56373,0.0,0.008876359819327106
BOOTP_secs,8.639244795081565e-05,0.00010763757059485653,,0.7999999999999999,0.0,0.0
BOOTP_flags,0.005676728597948354,0.00889025631612883,,0.8089325308837554,0.0,0.007597499904227867
BOOTP_sname,0.0008982609309441458,0.0019223528919866091,,45.43380281690142,0.0,0.005197182750357632
BOOTP_file,0.0015157851358973849,0.0025061393033649266,,45.43380281690142,0.0,0.0078015340336772265
BOOTP_options,0.0029620571237874887,0.0028531211813681997,,45.43380281690142,0.0,0.005937257299755361
DNS_length,0.0,0.0,,,0.0,0.005921779521872672
DNS_id,0.009105260107359093,0.004664753767768369,,170031.8968154063,0.0,0.017309216921396642
DNS_qr,8.023054156911933e-05,0.0005929045213267632,,29.599999999999994,0.0,0.011065523100396435
DNS_opcode,0.0,0.0,,,0.0,0.0
DNS_aa,0.00020630632630855219,0.0008126881188238526,,30.199999999999992,0.0,0.007339337136296864
DNS_tc,0.0,0.0,,,0.0,0.0
DNS_rd,0.0022755458546747476,0.0030698014998319445,,14.52,0.0,0.004618859664210051
DNS_ra,0.0,0.0,,,0.0,0.0
DNS_z,0.0,0.0,,,0.0,0.0
DNS_ad,0.0,0.0,,,0.0,0.005317146323110089
DNS_cd,0.0,0.0,,,0.0,0.005432816502238813
DNS_rcode,0.0,0.0,,,0.0,0.0
DNS_qdcount,0.0007779461460989169,0.0015644120339854053,,19.145785876993152,0.0,0.005751793232096958
DNS_ancount,0.00028839978277768393,0.00016004325918193135,,164.19999999999996,0.0,0.008484962412510066
DNS_nscount,1.1817106160717582e-05,6.632883625804252e-06,,100.8,0.0,0.010279360810535154
DNS_arcount,0.0,0.0,,1.2,0.0,0.0
sport_class,0.040022970559441505,0.05126835915420556,,78.08990133103794,0.0,0.06732938941040234
dport_class,0.09551671859485668,0.0838392058774382,,187.60272330741554,0.0,0.21718841359618035
sport_bare,0.06751474716433414,0.11799553764357654,,5397227.641506102,0.01670220612218946,0.31047341707953
dport_bare,0.17215357537611253,0.10922574743969393,,13175432.108729227,0.0,0.34805852455215214
TCP_sport,0.049194615884131376,0.07833959607572698,,5296544.669779722,0.0,0.2998261743360031
TCP_dport,0.1666501192423606,0.1656225201926097,,15242284.114338502,0.05318770217305757,0.2979284619045133
UDP_sport,0.018259519930896296,0.01911047505113764,,359036.29130063823,0.0,0.04637056445089649
UDP_dport,0.00854392079382894,0.005238541432850195,,537887.9771316731,0.0,0.04559496620929537
payload_bytes,0.02276209860797838,0.022611637569619758,,15.222681959629183,0.0,0.17023223789476094
