Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
Lightify,0,1,DT,0.986666666666667,0.955826732319988,0.986666666666667,0.955826732319988,0.970527556734453,0.941068139963168,0.009750604629517,0.0,0.009750604629517,0
Lightify,0,2,DT,0.995,0.993133558633354,0.989376550868486,0.993133558633354,0.991243049170279,0.982486183544796,0.010510206222534,0.0,0.010510206222534,0
Lightify,0,3,DT,0.998333333333333,0.995327102803738,0.998987854251012,0.995327102803738,0.997145996546656,0.994292020244302,0.010064125061035,0.001490116119385,0.01155424118042,0
Lightify,0,4,DT,0.995,0.993090007087172,0.989285225918618,0.993090007087172,0.991175389140826,0.982350864807624,0.01109504699707,0.0,0.01109504699707,0
Lightify,0,5,DT,0.991666666666667,0.987529600488886,0.983952910845292,0.987529600488886,0.985729982733279,0.971460101221508,0.010430335998535,0.0,0.010430335998535,0
Lightify,0,6,DT,0.991666666666667,0.983694083694084,0.987360421836228,0.983694083694084,0.98551557317291,0.971031286210892,0.010663270950317,0.00099778175354,0.011661052703857,0
Lightify,0,7,DT,0.996666666666667,0.99451112412178,0.99451112412178,0.99451112412178,0.99451112412178,0.98902224824356,0.010469675064087,0.0,0.010469675064087,0
Lightify,0,8,DT,0.995,0.992953486965463,0.989,0.992953486965463,0.990963810059288,0.981927710843373,0.009662628173828,0.001026391983032,0.01068902015686,0
Lightify,0,9,DT,0.995,0.992540857963255,0.988146182814105,0.992540857963255,0.990328352434837,0.980656808803301,0.011740684509277,0.0,0.011740684509277,0
Lightify,0,10,DT,0.991666666666667,0.986397275250189,0.982230328295988,0.986397275250189,0.984299687563782,0.968599539459912,0.009460926055908,0.001050233840942,0.010511159896851,0
