Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
SmarterCoffee,0,1,DT,0.972602739726027,0.944444444444444,0.982456140350877,0.944444444444444,0.961659663865546,0.923399790136411,0.003154993057251,0.0,0.003154993057251,0
SmarterCoffee,0,2,DT,0.986301369863014,0.9921875,0.95,0.9921875,0.9697472026523,0.939519469759735,0.002128124237061,0.000997304916382,0.003125429153442,0
SmarterCoffee,0,3,DT,0.986301369863014,0.991525423728814,0.966666666666667,0.991525423728814,0.978485116416151,0.956982911019446,0.003387928009033,0.0,0.003387928009033,0
SmarterCoffee,0,4,DT,0.972602739726027,0.983606557377049,0.928571428571429,0.983606557377049,0.953205128205128,0.906530089628681,0.002299547195435,0.0,0.002299547195435,0
SmarterCoffee,0,5,DT,0.986301369863014,0.992063492063492,0.954545454545455,0.992063492063492,0.972190476190476,0.944402132520944,0.002113819122314,0.0,0.002113819122314,0
SmarterCoffee,0,6,DT,0.986301369863014,0.944444444444444,0.992307692307692,0.944444444444444,0.96671226630187,0.933454876937101,0.003201961517334,0.0,0.003201961517334,0
SmarterCoffee,0,7,DT,0.986111111111111,0.991666666666667,0.961538461538462,0.991666666666667,0.975798319327731,0.951612903225806,0.001993179321289,0.0,0.001993179321289,0
SmarterCoffee,0,8,DT,0.972222222222222,0.9,0.984375,0.9,0.936507936507936,0.873239436619718,0.002078771591187,0.0,0.002078771591187,0
SmarterCoffee,0,9,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.002274513244629,0.0,0.002274513244629,0
SmarterCoffee,0,10,DT,0.986111111111111,0.990909090909091,0.972222222222222,0.990909090909091,0.981127129750983,0.962264150943396,0.003095388412476,0.0,0.003095388412476,0
